full_name,biobank_samples,class
Abia aenea,1,Insecta
Abra alba,1,Bivalvia
Abraliopsis atlantica,3,Cephalopoda
Abraliopsis hoylei,1,Cephalopoda
Abroscopus superciliaris -,2,Aves
Absyrtus vicinator,1,Insecta
Acalypta parvula,1,Insecta
Acanthis flammea -,3,Aves
Acanthodactylus erythrurus lineomaculatus,1,Reptilia
Accipiter gentilis -,1,Aves
Accipiter nisus -,22,Aves
Achroia grisella,1,Insecta
Acinonyx jubatus -,67,Mammalia
Aclastus solutus,1,Insecta
Acleris laterana,1,Insecta
Acleris notana,1,Insecta
Acrobates pygmaeus -,1,Mammalia
Acrocephalus - -,1,Aves
Acrocephalus schoenobaenus -,1,Aves
Acrocera orbiculus,1,Insecta
Acrocodia indica -,3,Mammalia
Acrocodia indicus -,1,Mammalia
Acrodactyla degener,1,Insecta
Acrodactyla similis,1,Insecta
Acroloxus lacustris,1,Gastropoda
Acronicta psi,2,Insecta
Acryllium vulturinum -,2,Aves
Actiniaria,2,Anthozoa
Actophilornis africana -,1,Aves
Adalia decempunctata,1,Insecta
Addax nasomaculatus -,8,Mammalia
Adela reaumurella,1,Insecta
Adicella reducta,2,Insecta
Aedes,1,Insecta
Aelia acuminata,7,Insecta
Aepyceros melampus -,1,Mammalia
Aepypodius megapode -,1,Aves
Aepyprymnus rufescens,12,Mammalia
Aepyprymnus rufescens -,2,Mammalia
Aethomys chrysophilus,1,Mammalia
Aethomys namaquensis,4,Mammalia
Afropavo congensis -,7,Aves
Agabus sturmii,1,Insecta
Agalenatea redii,2,Arachnida
Agapornis nigrigenis -,4,Aves
Agelastica alni,1,Insecta
Agelena labyrinthica,2,Arachnida
Aglaophamus agilis,2,Polychaeta
Aglossa pinguinalis,1,Insecta
Agonopterix alstromeriana,1,Insecta
Agriopis marginaria,1,Insecta
Agriotes lineatus,1,Insecta
Agriotes pallidulus,2,Insecta
Agrochola litura,1,Insecta
Agrochola lota,3,Insecta
Agrotis puta puta,2,Insecta
Agrypnus murinus,4,Insecta
Agrypon varitarsum,1,Insecta
Ailuropoda melanoleuca,2,Mammalia
Ailurops ursinus -,8,Mammalia
Ailurus fulgens -,14,Mammalia
Ailurus fulgens fulgens,17,Mammalia
Aix sponsa -,1,Aves
Akodon,11,Mammalia
Akodon cursor,9,Mammalia
Akodon lindberghi,5,Mammalia
Alauda arvensis -,5,Aves
Alcedo atthis -,1,Aves
Alces alces alces,26,Mammalia
Alcyonidium gelatinosum,1,Gymnolaemata
Alcyonidium hirsutum,1,Gymnolaemata
Alcyonidium mamillatum,1,Gymnolaemata
Alectoris graeca -,1,Aves
Aleiodes leptofemur,1,Insecta
Aleiodes testaceus,2,Insecta
Alentia gelatinosa,2,Polychaeta
Alitta virens,1,Polychaeta
Allajulus nitidus,7,Diplopoda
Alle alle -,13,Aves
Allenopithecus nigroviridis -,3,Mammalia
Allochrocebus lhoesti -,2,Mammalia
Allolobophora chlorotica,5,Clitellata
Allophyes oxycanthae,1,Insecta
Alopex lagopus -,3,Mammalia
Alouatta caraya -,6,Mammalia
Alouatta sara -,11,Mammalia
Altica lythri,1,Insecta
Alysia manducator,1,Insecta
Amara aulica,1,Insecta
Amaurobius ferox,3,Arachnida
Amaurobius similis,2,Arachnida
Amazona versicolor -,1,Aves
Amblonyx cinerea -,2,Mammalia
Amblonyx cinereus -,9,Mammalia
Amblyjoppa fuscipennis,2,Insecta
Ammophila sabulosa,3,Insecta
Ammothea hilgendorfi,1,Pycnogonida
Ammotragus lervia -,1,Mammalia
Ampelisca tenuicornis,1,Malacostraca
Amphicteis gunneri,2,Polychaeta
Amphipholis squamata,6,Ophiuroidea
Amphipoda,1,Malacostraca
Amphipoea lucens,6,Insecta
Amphitretus thielei,2,Cephalopoda
Amphitrite cirrata,1,Polychaeta
Amphiura chiajei,4,Ophiuroidea
Amphiura filiformis,6,Ophiuroidea
Amphiura securigera,1,Ophiuroidea
Anacaena limbata,1,Insecta
Anas aucklandica -,1,Aves
Anas bernieri -,1,Aves
Anas canagicus -,2,Aves
Anas luzonica -,1,Aves
Anas melleri -,2,Aves
Anaspis frontalis,1,Insecta
Anaspis lurida,1,Insecta
Anaspis maculata,2,Insecta
Anaspis regimbarti,1,Insecta
Anatis ocellata,1,Insecta
Ancistroteuthis sp.,1,Cephalopoda
Anemonia viridis,4,Anthozoa
Anguillidae,1,Actinopterygii
Anisosticta novemdecimpunctata,1,Insecta
Annelida,3,
Anodorhynchus hyacinthinus -,1,Aves
Anolis carolinensis,4,Reptilia
Anolis marmoratus,8,Reptilia
Anolis pogus,4,Reptilia
Anolis sabanus,10,Reptilia
Anolis sagrei,1,Reptilia
Anomala dubia,1,Insecta
Anoplogaster cornuta,5,Actinopterygii
Anoscopus histrionica,3,Insecta
Anser albifrons -,1,Aves
Anser indicus -,1,Aves
Anthonomus rubi,2,Insecta
Anthrenus sarnicus,1,Insecta
Anthropoides paradiseus -,1,Aves
Anthropoides virgo -,2,Aves
Anthus godlewskii -,1,Aves
Anthus hodgsoni -,1,Aves
Anthus petrosus -,1,Aves
Anthus pratensis -,3,Aves
Anthus trivialis -,1,Aves
Antidorcas marsupialis -,2,Mammalia
Antigone vipio -,4,Aves
Antilope cervicapra -,1,Mammalia
Antitype chi,2,Insecta
Anyphaena numida,1,Arachnida
Aonides oxycephala,2,Polychaeta
Aotus lemurinus griseimembra,4,Mammalia
Aotus trivirgatus -,1,Mammalia
Apaeleticus inimicus,1,Insecta
Apalone spinifera,3,Reptilia
Apechthis compunctor,1,Insecta
Aphanisticus pusillus,4,Insecta
Aphelinus asychis,1,Insecta
Aphrodes,1,Insecta
Aphrophora alni,1,Insecta
Aphthona,1,Insecta
Aphthona euphorbiae,1,Insecta
Aphthona nonstriata,1,Insecta
Apoda limacodes,1,Insecta
Apodemus sylvaticus,7,Mammalia
Apodemus sylvaticus -,1,Mammalia
Aponuphis bilineata,2,Polychaeta
Aporophyla australis,1,Insecta
Aporophyla lueneburgensis,1,Insecta
Aporophyla nigra,4,Insecta
Aporrectodea caliginosa,5,Clitellata
Aporrectodea icterica,3,Clitellata
Aporrectodea longa,14,Clitellata
Aporrectodea rosea,2,Clitellata
Aptenodytes patagonicus -,4,Aves
Aquila audax,2,Aves
Aquila chrysaetos -,17,Aves
Aquila heliaca -,1,Aves
Aquila pomarina -,1,Aves
Aquila rapax -,1,Aves
Ara ambiguus -,1,Aves
Ara ararauna -,5,Aves
Arabitragus jayakari -,2,Mammalia
Araneus angulatus,1,Arachnida
Araneus diadematus,3,Arachnida
Aratinga auricapillus -,1,Aves
Aratinga solstitialis -,2,Aves
Archaeopsylla erinacei erinacei,5,Insecta
Arcitalitrus sylvaticus,1,Malacostraca
Arctictis binturong -,8,Mammalia
Arctocebus calabarensis -,4,Mammalia
Arctocephalus australis -,3,Mammalia
Arctocephalus pusillus pusillus,2,Mammalia
Arctogalidia trivirgata -,1,Mammalia
Ardea cinerea -,2,Aves
Arenaria interpres -,4,Aves
Arenicola marina,3,Polychaeta
Argyresthia cupressella,1,Insecta
Argyresthia goedartella,1,Insecta
Argyresthia retinella,1,Insecta
Argyropelecus gigas,1,Actinopterygii
Armadillidium vulgare,1,Malacostraca
Arocatus longiceps longiceps,1,Insecta
Artcictis binturong -,16,Mammalia
Arvicola amphibius -,2,Mammalia
Asarcornis scutulata -,1,Aves
Ascidiacea,1,Ascidiacea
Asio otus -,15,Aves
Asiraca clavicornis,4,Insecta
Asperoteuthis sp.,5,Cephalopoda
Aspidapion radiolus,2,Insecta
Astacilla dilatata,1,Malacostraca
Astronesthes trifibulatus,2,Actinopterygii
Astyanax altiparanae,2,Actinopterygii
Atelerix algirus -,1,Mammalia
Ateles - -,1,Mammalia
Ateles belzebuth belzebuth,2,Mammalia
Ateles chamek -,1,Mammalia
Ateles fusciceps rufiventris,7,Mammalia
Ateles geoffroyi -,3,Mammalia
Ateles paniscus -,4,Mammalia
Ateles rufiventris robustus,1,Mammalia
Atethmia centrago,1,Insecta
Athalia rosae,4,Insecta
Athene noctua -,2,Aves
Athous campyloides,1,Insecta
Athous haemorrhoidalis,1,Insecta
Athysanus argentarius,4,Insecta
Atilax paludinosus -,2,Mammalia
Attagenus smirnovi,1,Insecta
Atypus affinis,2,Arachnida
Australopacifica atrata,1,Rhabditophora
Australoplana sanguinea,3,Turbellaria
Avocettina infans,1,Actinopterygii
Avocettina sp.,1,Actinopterygii
Axis axis -,27,Mammalia
Axis kuhlii -,1,Mammalia
Axis porcinus -,4,Mammalia
Azorinus chamasolen,1,Bivalvia
Babyrousa babyrussa -,1,Mammalia
Babyrousa babyrussa celebensis,6,Mammalia
Babyrousa celebensis -,2,Mammalia
Bactra lancealana,1,Insecta
Baetis muticus,1,Insecta
Baetis niger,2,Insecta
Baetis vernus,2,Insecta
Baeus seminulum,1,Insecta
Balearica pavonina -,1,Aves
Balearica regulorum -,1,Aves
Balearica regulorum gibbericeps,2,Aves
Barypeithes pellucidus,1,Insecta
Bathothauma lyromma,1,Cephalopoda
Bathylagus antarcticus,10,Actinopterygii
Bathyteuthis abyssicola,1,Cephalopoda
Bathythrix lamina,1,Insecta
Batrachedra praeangusta,1,Insecta
Batracomorphus allionii,1,Insecta
Batracomorphus irroratus,5,Insecta
Bettongia penicillata ogilbyi,3,Mammalia
Betulapion simile,1,Insecta
Bibio johannis,2,Insecta
Bibio varipes,1,Insecta
Bimastos eiseni,1,Clitellata
Bimastos rubidus,11,Clitellata
Bison bonasus,4,Mammalia
Bison bonasus -,50,Mammalia
Biston strataria,1,Insecta
Bithia spreta,1,Insecta
Bitoma crenata,1,Insecta
Blaniulus guttulatus,5,Diplopoda
Blastobasis vittata,1,Insecta
Bolitobius castaneus,1,Insecta
Bolomys lasiurus,1,Mammalia
Bolothrips dentipes,1,Insecta
Bombus jonellus,2,Insecta
Bombus lapidarius,6,Insecta
Bombus muscorum,1,Insecta
Bombus pascuorum,4,Insecta
Bombus terrestris,3,Insecta
Bombycilla garrulus -,56,Aves
Boreus hyemalis,2,Insecta
Borostomias elucens,4,Actinopterygii
Bos grunniens,18,Mammalia
Bos grunniens -,15,Mammalia
Bos taurus,37,Mammalia
Boselaphus tragocamelus -,1,Mammalia
Botaurus stellaris -,1,Aves
Bothidae,2,Actinopterygii
Botryllus,1,Ascidiacea
Brachioteuthis picta,3,Cephalopoda
Brachycaudus lychnidis,2,Insecta
Brachycercus harrisella,4,Insecta
Brachyiulus pusillus,4,Diplopoda
Brachyopa scutellaris,2,Insecta
Brachyphallus sp.,1,Trematoda
Brachypterus glaber,1,Insecta
Brachypterus urticae,1,Insecta
Bradypus tridactylus,4,Mammalia
Branta leucopsis -,1,Aves
Branta rufcollis -,1,Aves
Branta sandvicensis -,7,Aves
Brillia bifida,1,Insecta
Bruchidius imbricornis,1,Insecta
Bruchus,1,Insecta
Bryotropha terrella,1,Insecta
Bryozoa,4,
Buathra laborator,1,Insecta
Bubalus bubalis,12,Mammalia
Bubalus depressicornis -,4,Mammalia
Bubo - -,1,Aves
Bubo bubo -,7,Aves
Bubo scandiaca -,1,Aves
Bubo scandiacus -,1,Aves
Bubo vosseleri -,1,Aves
Bucephala clangula -,2,Aves
Budorcas taxicolor taxicolor,13,Mammalia
Burhinus oedicnemus,2,Aves
Buteo buteo -,10,Aves
Buteo jamaicensis -,1,Aves
Byturus ochraceus,1,Insecta
Cacatua - -,1,Aves
Cacatua ducorpsi,4,Aves
Cacatua ducorpsi -,4,Aves
Cacopsylla fulguralis,2,Insecta
Caenis luctuosa,1,Insecta
Caenoplana variegata,3,Rhabditophora
Calidris - -,5,Aves
Calidris alba -,2,Aves
Calidris alpina -,33,Aves
Calidris canutus -,20,Aves
Calidris minuta -,1,Aves
Calidris subruficollis -,1,Aves
Callicebus cupreus -,2,Mammalia
Callicera aurata,1,Insecta
Callimico goeldii -,32,Mammalia
Callipallene brevirostris,1,Pycnogonida
Calliphora vomitoria,2,Insecta
Callithrix geoffroyi -,56,Mammalia
Callithrix jacchus,11,Mammalia
Callithrix jacchus -,52,Mammalia
Callitula bicolor,3,Insecta
Callomyia amoena,1,Insecta
Callopora lineata,1,Gymnolaemata
Callosciurus prevostii -,6,Mammalia
Callosciurus prevostii borneoensis,1,Mammalia
Calocoris stysi,1,Insecta
Calodromius spilotus,1,Insecta
Caloenas nicobarica -,2,Aves
Calomyscus,1,Mammalia
Calopteryx virgo,1,Insecta
Calvia quatuordecimguttata,2,Insecta
Camelus bactrianus -,6,Mammalia
Camelus dromedarius,20,Mammalia
Canis familiaris,22,Mammalia
Canis familiaris dingo,1,Mammalia
Canis lupus -,15,Mammalia
Canis lupus arabs,1,Mammalia
Canis lupus lupus,2,Mammalia
Canis lupus occidentalis,6,Mammalia
Canis lupus signatus,1,Mammalia
Cantharis cryptica,1,Insecta
Cantharis rufa,1,Insecta
Canthophorus impressus,3,Insecta
Capitella capitata,1,Polychaeta
Capra falconeri -,10,Mammalia
Capra falconeri heptneri,35,Mammalia
Capra nubiana -,1,Mammalia
Caprella acanthifera,2,Malacostraca
Caprella linearis,2,Malacostraca
Capreolus capreolus,3,Mammalia
Capreolus pygargus,12,Mammalia
Capricornis crispus -,10,Mammalia
Caprimulgus aegyptius -,1,Aves
Caprimulgus europaeus -,1,Aves
Capsus ater,1,Insecta
Caracal aurata -,2,Mammalia
Caracal caracal -,17,Mammalia
Caracal caracal michaelis,1,Mammalia
Caradrina kadenii,1,Insecta
Caradrina morpheus,1,Insecta
Carcara - -,1,Aves
Carcina quercana,1,Insecta
Carduelis carduelis -,3,Aves
Carduelis spinus -,8,Aves
Carollia perspicillata -,1,Mammalia
Cartodere bifasciata,1,Insecta
Cassida vibex,1,Insecta
Castor - -,3,Mammalia
Castor canadensis -,3,Mammalia
Castor fiber,2,Mammalia
Castor fiber -,40,Mammalia
Casuarius casuarius -,4,Aves
Cathartes aura -,3,Aves
Catopuma badia -,1,Mammalia
Catopuma temminckii -,6,Mammalia
Catopuma temminckii temminckii,1,Mammalia
Cavia aperea -,1,Mammalia
Cavia porcellus,12,Mammalia
Cavia porcellus -,2,Mammalia
Cebuella polykomos polykomus,2,Mammalia
Cebuella pygmaea -,23,Mammalia
Cebuella pygmaea niveiventris,6,Mammalia
Cebuella pygmaea pygmaea,3,Mammalia
Cebus - -,1,Mammalia
Cebus apella -,4,Mammalia
Celleporella hyalina,1,Gymnolaemata
Centroptilum luteolum,2,Insecta
Cepaea hortensis,4,Gastropoda
Cephalophus natalensis -,1,Mammalia
Cephalophus natalensis nsis,1,Mammalia
Cerastoderma edule,6,Bivalvia
Cerastoderma glaucum,2,Bivalvia
Ceratotherium simum,1,Mammalia
Ceratotherium simum simum,15,Mammalia
Ceratothoa steindachneri,2,Malacostraca
Cerceris arenaria,2,Insecta
Cercocebus lunulatus -,1,Mammalia
Cercopithecus ascanius schmidti,5,Mammalia
Cercopithecus campbelli -,1,Mammalia
Cercopithecus diana -,4,Mammalia
Cercopithecus diana diana,3,Mammalia
Cercopithecus hamlyni -,2,Mammalia
Cercopithecus hamlyni hamlyni,3,Mammalia
Cercopithecus kandti,4,Mammalia
Cercopithecus mitis -,2,Mammalia
Cercopithecus neglectus,2,Mammalia
Cercopithecus neglectus -,6,Mammalia
Cercopithecus pygerythrus -,1,Mammalia
Cereopsis novaehollandiae -,1,Aves
Cerianthus lloydii,2,Anthozoa
Cernuella virgata,3,Gastropoda
Cervus elaphus -,6,Mammalia
Cervus elaphus bactrianus,18,Mammalia
Cervus nippon nippon,2,Mammalia
Cerylon ferrugineum,1,Insecta
Cerylon histeroides,1,Insecta
Cetonia aurata,1,Insecta
Ceutorhynchus obstrictus,1,Insecta
Chaetocnema concinna,1,Insecta
Chaetocnema hortensis,1,Insecta
Chaetoderma nitidulum,1,Caudofoveata
Chaetophractus villosus -,2,Mammalia
Chaetopteryx villosa,1,Insecta
Chaetozone zetlandica,1,Polychaeta
Chalcides chalcides,4,Reptilia
Chalcolestes viridis,4,Insecta
Chamaeleo calyptratus,15,Reptilia
Chamaeleo melleri -,2,Reptilia
Chaoborus,1,Insecta
Chaoborus crystallinus,2,Insecta
Charadrius hiaticula -,4,Aves
Charmon cruentatus,4,Insecta
Charmosyna papou goliathina,2,Aves
Chartoscirta cincta,1,Insecta
Chauliodus sloani,14,Actinopterygii
Cheilosia variabilis,1,Insecta
